Index;Date de la demande;Année de naissance;sexe;nb_enfants_conduite_accompagne;nb_enfants_;points_perdus_;revenus_;val_residence_princ_;usage_vehicule;type_vehicule;age_vehicule_;type_conduite;formule;tarif_devis_;Code postal;
1;01/02/2022;1999;F;non;entre 1 et 2;0;60 000+;0;Commercial;Sports Car;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;40180;
2;01/05/2022;1932;F;oui;entre 1 et 2;entre 1 et 6;40 000 - 60 000;0;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;3000;
3;01/01/2022;1978;F;non;entre 1 et 2;0;15 000 - 25 000;0;Private;Pickup;entre 4 et 10;z_Highly Rural/ Rural;dev_express;entre 200 et 300;4800;
4;01/04/2022;2021;F;non;0;entre 1 et 6;0 - 15 000;80 000 - 150 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;6370;
5;01/03/2022;1956;M;non;0;entre 1 et 6;0 - 15 000;150 000 - 250 000;Commercial;Panel Truck;entre 10 et 15;Highly Urban/ Urban;dev_vip;entre 600 et 700;19100;
6;01/03/2022;1992;F;non;entre 1 et 2;entre 1 et 6;60 000+;150 000 - 250 000;Private;z_SUV;entre 10 et 15;z_Highly Rural/ Rural;dev_premium;entre 400 et 500;70250;
7;01/03/2022;1941;F;oui;entre 1 et 2;0;60 000+;250 000 - 400 000;Commercial;Minivan;entre 4 et 10;z_Highly Rural/ Rural;dev_express;entre 200 et 300;58000;
8;01/03/2022;1956;M;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_premium;entre 300 et 400;73460;
9;01/01/2022;1956;M;non;0;0;60 000+;250 000 - 400 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 300 et 400;30800;
10;01/03/2022;1974;F;non;0;entre 1 et 6;0 - 15 000;250 000 - 400 000;Commercial;Panel Truck;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;47510;
11;01/05/2022;1967;F;oui;entre 1 et 2;0;15 000 - 25 000;0;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;83500;
12;01/01/2022;2017;M;non;3+;0;15 000 - 25 000;0 - 80 000;Private;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_premium;entre 300 et 400;;
13;01/05/2022;1950;F;non;0;0;60 000+;0;Private;z_SUV;15+;Highly Urban/ Urban;dev_express;entre 200 et 300;23800;
14;01/05/2022;2017;M;non;0;entre 1 et 6;0 - 15 000;0;Commercial;Van;entre 4 et 10;z_Highly Rural/ Rural;dev_integral;entre 300 et 400;13080;
15;01/04/2022;1945;M;non;entre 1 et 2;0;25 000 - 40 000;150 000 - 250 000;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;68790;
16;01/05/2022;1938;M;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;81100;
17;01/04/2022;1973;F;non;0;0;60 000+;250 000 - 400 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;75018;
18;01/03/2022;1936;F;non;0;entre 1 et 6;40 000 - 60 000;0;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;78210;
19;01/02/2022;1955;F;non;0;0;60 000+;150 000 - 250 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;95470;
20;01/04/2022;1940;F;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;16410;
21;01/03/2022;1988;M;non;entre 1 et 2;0;60 000+;150 000 - 250 000;Private;Minivan;15+;z_Highly Rural/ Rural;dev_express;entre 200 et 300;2270;
22;01/03/2022;1931;M;oui;3+;entre 1 et 6;25 000 - 40 000;80 000 - 150 000;Private;Minivan;non renseigné;Highly Urban/ Urban;dev_premium;entre 300 et 400;69100;
23;01/05/2022;2000;F;non;0;0;0 - 15 000;80 000 - 150 000;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_premium;entre 300 et 400;46000;
24;01/02/2022;1941;F;non;3+;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Commercial;Sports Car;entre 1 et 3;Highly Urban/ Urban;dev_premium;entre 400 et 500;33700;
25;01/04/2022;2004;M;non;0;entre 1 et 6;15 000 - 25 000;80 000 - 150 000;Commercial;Pickup;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;93380;
